id,plugin,channels,irlen_s,spl,measure,screenshot,X,time,input_length,inverse_ratio
1,MODOld,16,0.1,64,1,Screenshot (336).png),4.8,125.0,600.0,0.20833333333333334
1,MODOld,16,0.1,64,1,Screenshot (337).png),4.9,61.22,300.0,0.2040816326530612
2,MODOld,16,0.2,64,1,Screenshot (338).png),2.6,23.08,60.0,0.3846153846153846
2,MODOld,16,0.2,64,1,Screenshot (339).png),2.6,23.08,60.0,0.3846153846153846
3,MODOld,16,0.5,64,1,Screenshot (340).png),1.2,50.0,60.0,0.8333333333333334
3,MODOld,16,0.5,64,1,Screenshot (341).png),1.2,50.0,60.0,0.8333333333333334
4,MODOld,16,1.0,64,1,Screenshot (342).png),0.6,50.0,30.0,1.6666666666666667
4,MODOld,16,1.0,64,1,Screenshot (343).png),0.6,50.0,30.0,1.6666666666666667
5,MODOld,16,2.0,64,1,Screenshot (344).png),0.3,205.0,60.0,3.3333333333333335
5,MODOld,16,2.0,64,1,Screenshot (345).png),0.3,103.0,30.0,3.3333333333333335
6,MODOld,16,5.0,64,1,Screenshot (346).png),0.1,251.0,30.0,10.0
6,MODOld,16,5.0,64,1,Screenshot (347).png),0.1,251.0,30.0,10.0
7,MODOld,16,10.0,64,1,Screenshot (348).png),0.1,540.0,60.0,10.0
7,MODOld,16,10.0,64,1,Screenshot (349).png),0.1,540.0,60.0,10.0
8,MODOld,36,0.1,64,1,Screenshot (350).png),2.3,13.04,30.0,0.4347826086956522
8,MODOld,36,0.1,64,1,Screenshot (351).png),2.3,13.04,30.0,0.4347826086956522
9,MODOld,36,0.2,64,1,Screenshot (352).png),1.2,25.0,30.0,0.8333333333333334
9,MODOld,36,0.2,64,1,Screenshot (353).png),1.2,25.0,30.0,0.8333333333333334
10,MODOld,36,0.5,64,1,Screenshot (354).png),0.5,57.0,30.0,2.0
10,MODOld,36,0.5,64,1,Screenshot (355).png),0.5,57.0,30.0,2.0
11,MODOld,36,1.0,64,1,Screenshot (356).png),0.2,161.0,30.0,5.0
11,MODOld,36,1.0,64,1,Screenshot (357).png),0.2,161.0,30.0,5.0
12,MODOld,36,2.0,64,1,Screenshot (358).png),0.1,227.0,30.0,10.0
12,MODOld,36,2.0,64,1,Screenshot (359).png),0.1,227.0,30.0,10.0
13,MODOld,36,5.0,64,1,Screenshot (360).png),0.1,228.0,30.0,10.0
13,MODOld,36,5.0,64,1,Screenshot (361).png),0.1,228.0,30.0,10.0
14,MODOld,36,10.0,64,1,Screenshot (362).png),0.1,228.0,30.0,10.0
14,MODOld,36,10.0,64,1,Screenshot (363).png),0.1,229.0,30.0,10.0
15,MODOld,64,0.1,64,1,Screenshot (364).png),1.3,23.08,30.0,0.7692307692307692
15,MODOld,64,0.1,64,1,Screenshot (365).png),1.3,23.08,30.0,0.7692307692307692
16,MODOld,64,0.2,64,1,Screenshot (366).png),0.7,42.86,30.0,1.4285714285714286
16,MODOld,64,0.2,64,1,Screenshot (367).png),0.7,42.86,30.0,1.4285714285714286
17,MODOld,64,0.5,64,1,Screenshot (368).png),0.3,103.0,30.0,3.3333333333333335
17,MODOld,64,0.5,64,1,Screenshot (369).png),0.3,103.0,30.0,3.3333333333333335
18,MODOld,64,1.0,64,1,Screenshot (370).png),0.1,206.0,30.0,10.0
18,MODOld,64,1.0,64,1,Screenshot (371).png),0.1,206.0,30.0,10.0
19,MODOld,64,2.0,64,1,Screenshot (372).png),0.1,208.0,30.0,10.0
19,MODOld,64,2.0,64,1,Screenshot (373).png),0.1,208.0,30.0,10.0
20,MODOld,64,5.0,64,1,Screenshot (374).png),0.1,208.0,30.0,10.0
20,MODOld,64,5.0,64,1,Screenshot (375).png),0.1,208.0,30.0,10.0
21,MODOld,64,10.0,64,1,Screenshot (376).png),0.1,210.0,30.0,10.0
21,MODOld,64,10.0,64,1,Screenshot (377).png),0.1,210.0,30.0,10.0
