id,plugin,channels,irlen_s,spl,measure,screenshot,X,time,input_length,inverse_ratio
1,MODOld,16,0.1,256,1,Screenshot (378).png),13.9,21.58,300.0,0.07193333333333332
1,MODOld,16,0.1,256,1,Screenshot (379).png),13.9,21.58,300.0,0.07193333333333332
2,MODOld,16,0.2,256,1,Screenshot (380).png),8.8,34.09,300.0,0.11363333333333335
2,MODOld,16,0.2,256,1,Screenshot (381).png),8.8,34.09,300.0,0.11363333333333335
3,MODOld,16,0.5,256,1,Screenshot (382).png),4.3,69.77,300.0,0.23256666666666664
3,MODOld,16,0.5,256,1,Screenshot (383).png),4.3,69.77,300.0,0.23256666666666664
4,MODOld,16,1.0,256,1,Screenshot (384).png),2.3,132.0,300.0,0.44
4,MODOld,16,1.0,256,1,Screenshot (385).png),2.3,132.0,300.0,0.44
5,MODOld,16,2.0,256,1,Screenshot (386).png),1.1,27.27,30.0,0.909
5,MODOld,16,2.0,256,1,Screenshot (387).png),1.1,27.27,30.0,0.909
6,MODOld,16,5.0,256,1,Screenshot (388).png),0.4,66.0,30.0,2.2
6,MODOld,16,5.0,256,1,Screenshot (389).png),0.4,66.0,30.0,2.2
7,MODOld,16,10.0,256,1,Screenshot (390).png),0.2,152.0,30.0,5.066666666666666
7,MODOld,16,10.0,256,1,Screenshot (391).png),0.2,152.0,30.0,5.066666666666666
8,MODOld,36,0.1,256,1,Screenshot (392).png),6.5,4.62,30.0,0.154
8,MODOld,36,0.1,256,1,Screenshot (393).png),6.5,4.62,30.0,0.154
9,MODOld,36,0.2,256,1,Screenshot (394).png),4.1,7.32,30.0,0.24400000000000002
9,MODOld,36,0.2,256,1,Screenshot (395).png),4.1,7.32,30.0,0.24400000000000002
10,MODOld,36,0.5,256,1,Screenshot (396).png),1.9,15.79,30.0,0.5263333333333333
10,MODOld,36,0.5,256,1,Screenshot (397).png),1.9,15.79,30.0,0.5263333333333333
11,MODOld,36,1.0,256,1,Screenshot (398).png),1.0,30.0,30.0,1.0
11,MODOld,36,1.0,256,1,Screenshot (399).png),1.0,30.0,30.0,1.0
12,MODOld,36,2.0,256,1,Screenshot (400).png),0.5,59.0,30.0,1.9666666666666666
12,MODOld,36,2.0,256,1,Screenshot (401).png),0.5,58.0,30.0,1.9333333333333333
13,MODOld,36,5.0,256,1,Screenshot (402).png),0.2,151.0,30.0,5.033333333333333
13,MODOld,36,5.0,256,1,Screenshot (403).png),0.2,151.0,30.0,5.033333333333333
14,MODOld,36,10.0,256,1,Screenshot (404).png),0.1,332.0,30.0,11.066666666666666
14,MODOld,36,10.0,256,1,Screenshot (405).png),0.1,332.0,30.0,11.066666666666666
15,MODOld,64,0.1,256,1,Screenshot (406).png),3.7,8.11,30.0,0.2703333333333333
15,MODOld,64,0.1,256,1,Screenshot (407).png),3.7,8.11,30.0,0.2703333333333333
16,MODOld,64,0.2,256,1,Screenshot (408).png),2.3,13.04,30.0,0.43466666666666665
16,MODOld,64,0.2,256,1,Screenshot (409).png),2.3,13.04,30.0,0.43466666666666665
17,MODOld,64,0.5,256,1,Screenshot (410).png),1.1,27.27,30.0,0.909
17,MODOld,64,0.5,256,1,Screenshot (411).png),1.1,27.27,30.0,0.909
18,MODOld,64,1.0,256,1,Screenshot (412).png),0.5,55.0,30.0,1.8333333333333333
18,MODOld,64,1.0,256,1,Screenshot (413).png),0.5,55.0,30.0,1.8333333333333333
19,MODOld,64,2.0,256,1,Screenshot (414).png),0.3,104.0,30.0,3.466666666666667
19,MODOld,64,2.0,256,1,Screenshot (415).png),0.3,104.0,30.0,3.466666666666667
20,MODOld,64,5.0,256,1,Screenshot (416).png),0.1,265.0,30.0,8.833333333333334
20,MODOld,64,5.0,256,1,Screenshot (417).png),0.1,265.0,30.0,8.833333333333334
21,MODOld,64,10.0,256,1,Screenshot (418).png),0.1,264.0,30.0,8.8
21,MODOld,64,10.0,256,1,Screenshot (419).png),0.1,264.0,30.0,8.8
